기업이름,등급,보고서상기업이름(기업이름과 일치해야함)
삼성물산,AA+,삼성물산(주)
현대건설,AA-,현대건설
대우건설,A,(주)대우건설
현대엔지니어링,,현대엔지니어링(주)
지에스건설,A,지에스건설(주)
디엘이앤씨,AA-,디엘이앤씨(주)
포스코이앤씨,A+,포스코이앤씨
롯데건설,AA,롯데건설(주)
에스케이에코플랜트,A-,에스케이에코플랜트(주)
호반건설,A,호반건설
에이치디씨현대산업개발,A,에이치디씨현대산업개발(주)
한화,AA-,한화투자증권(주)
디엘건설,A-,디엘건설(주)
대방건설,,
중흥토건,,중흥토건(주)
태영건설,CCC,태영건설
제일건설,,(주)제일건설
계룡건설산업,BBB+,계룡건설산업(주)
코오롱글로벌,,코오롱글로벌(주)
서희건설,A3+,서희건설
금호건설,,금호건설(주)
동부건설,,동부건설(주)
아이에스동서,A3,아이에스동서
케이씨씨건설,A-,케이씨씨건설
우미건설,,우미건설(주)
반도건설,,(주)반도홀딩스
한신공영,BBB,한신공영(주)
쌍용건설,,쌍용건설(주)
호반산업,A2-,호반산업
에이치엘디앤아이한라,BBB+,에이치엘디앤아이한라(주)
동원개발,,(주)동원개발
신세계건설,A,신세계건설(주)
삼성엔지니어링,,삼성엔지니어링(주)
에스지씨이테크건설,,에스지씨이테크건설(주)
두산건설,,두산건설(주)
동양건설산업,,(주)동양건설산업
에이치제이중공업,,에이치제이중공업
한양,BBB+,한양
금강주택,,
라인건설,,
효성중공업,A,효성중공업(주)
두산에너빌리티,BBB+,두산에너빌리티(주)
화성산업,,(주)화성산업
라인산업,,
대광건영,,
양우건설,,양우건설(주)
진흥기업,,진흥기업(주)
서한,,서한모방(주)
금성백조주택,,(주)금성백조주택
중흥건설,,중흥건설(주)
씨제이대한통운,AA-,씨제이대한통운(주)
대보건설,BBB-,대보건설
엘티삼보,,
시티건설,,
자이씨앤에이,,자이씨앤에이(주)
보광종합건설,,
우미개발,,
케이알산업,BBB-,(주)케이알산업
성도이엔지,,
신동아건설,,신동아건설(주)
동문건설,,
남광토건,,남광토건(주)
디에스종합건설,,
자이에스앤디,A-,자이에스앤디
대원,A2,대원강업
동원건설산업,BBB,동원건설산업(주)
태왕이앤씨,BB,(주)태왕이앤씨
극동건설,,극동건설(주)
일성건설,BB+,일성건설(주)
금성백조건설,,
에이스건설,,
요진건설산업,,요진건설산업(주)
우방,,씨앤우방
일신건영,BB+,일신건영(주)
대우산업개발,,
경동건설,,경동건설(주)
삼부토건,,삼부토건(주)
대상건설,,대상건설(주)
파인건설,,
이수건설,,이수건설(주)
동양,,동양생명보험(주)
경남기업,,경남기업(주)
대방산업개발,,
계성건설,,
서해종합건설,,
혜림건설,,
강산건설,,강산건설
유승종합건설,,
우남건설,,
한양산업개발,,
모아종합건설,,
원건설,BBB,동원건설산업(주)
부영주택,A3+,부영주택
삼정기업,,
흥화,,(주)흥화
금광기업,,금광기업(주)
보미건설,,
풍림산업,,풍림산업(주)
한국건설,,
남화토건,,
대명건설,,
선경이엔씨,,
광신종합건설,,
삼환기업,,삼환기업(주)
새천년종합건설,,
영무토건,,
대저건설,,(주)대저건설
한양건설,,
한성건설,,
한일건설,,한일건설(주)
대창기업,,대창기업(주)
화성개발,,(주)화성개발
유탑건설,,
이화공영,,
중앙건설,,(주)중앙건설
신태양건설,,
동일스위트,,
대림,A+,대림
웰크론한텍,,
에스엠상선,,
