플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,시/도,시/구,동/읍,상세주소,브릿지론/본PF,신용보강기관종류1,신용보강기관종류2,신용보강기관명1,신용보강기관명2,신용보강형태1,신용보강형태2,신용보강기관 신용등급,사업용도,사업용도 세부종목,시공사,시공사구간,시공사 신용등급,트렌치,전체 트렌치 수,전체 대출약정 규모(억 원),분양률(%)
64396,에이디원제칠차,KRZFA29281E1,에이디원제칠차 20240110-182-1,Y,20240110,20240710,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29282E1,에이디원제칠차 20240110-182-2,Y,20240110,20240710,PF대출채권,KRW,,"3,000,000,000 ","3,000,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29283E1,에이디원제칠차 20240110-182-3,Y,20240110,20240710,PF대출채권,KRW,,"100,000,000 ","100,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29284E1,에이디원제칠차 20240110-182-4,Y,20240110,20240710,PF대출채권,KRW,,"100,000,000 ","100,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29285E1,에이디원제칠차 20240110-182-5,Y,20240110,20240710,PF대출채권,KRW,,"300,000,000 ","300,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29286E1,에이디원제칠차 20240110-182-6,Y,20240110,20240710,PF대출채권,KRW,,"500,000,000 ","500,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29287E1,에이디원제칠차 20240110-182-7,Y,20240110,20240710,PF대출채권,KRW,,"500,000,000 ","500,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
64396,에이디원제칠차,KRZFA29288E1,에이디원제칠차 20240110-182-8,Y,20240110,20240710,PF대출채권,KRW,,"500,000,000 ","500,000,000 ",180,A2+,,A2+,,,,,,,,,,,,,,,,,,,,,,
63765,프로젝트갈매,KRZFA70501E1,프로젝트갈매 20240110-121-1,Y,20240110,20240510,PF대출채권,KRW,,"500,000,000 ","500,000,000 ",119,,A1,A1,,,,,,,,,,,,,,,,,,,,,,
57230,리치게이트양덕,KRZFA26381E1,리치게이트양덕 20240108-91-1,Y,20240108,20240408,PF대출채권,KRW,,"6,100,000,000 ","6,100,000,000 ",87,A1,,A1,,,,,,,,,,,,,,,,,,,,,,
57230,리치게이트양덕,KRZFA26382E1,리치게이트양덕 20240108-91-2,Y,20240108,20240408,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",87,A1,,A1,,,,,,,,,,,,,,,,,,,,,,
