플랜번호,발행인,종목코드,종목명,PF여부,발행일,만기일,기초자산,통화,환율,발행금액,원화환산발행금액,잔존일물,보증,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,시/도,시/구,동/읍,상세주소,브릿지론/본PF,신용보강기관종류1,신용보강기관종류2,신용보강기관명1,신용보강기관명2,신용보강형태1,신용보강형태2,사업용도,사업용도 세부종목,신용보강기관 신용등급,시공사,시공사구간,시공사 신용등급,트렌치,전체 트렌치 수,전체 대출약정 규모(억 원),분양률(%)
62787,뉴스타제이에이치센터,KRZS46456006,뉴스타제이에이치센터 20240111-33-1(단),Y,20240111,20240213,PF대출채권,KRW,,"48,700,000,000 ","48,700,000,000 ",32,N,,,,,,,,,,,,,,,,,,,,,,,,,
64408,디비하이엔드제일차,KRZS37440023,디비하이엔드제일차 20240111-91-1(단),Y,20240111,20240411,PF대출채권,KRW,,"2,100,000,000 ","2,100,000,000 ",90,N,,,,,,,,,,,,,,,,,,,,,,,,,
56439,리미티리제삼차,KRZS42009013,리미티리제삼차 20240111-91-1(단),Y,20240111,20240411,PF대출채권,KRW,,"6,000,000,000 ","6,000,000,000 ",90,N,,,,,,,,,,,,,,,,,,,,,,,,,
63459,아디아북천안제일차,KRZS43291008,아디아북천안제일차 20240111-91-1(단),Y,20240111,20240411,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",90,N,,,,,,,,,,,,,,,,,,,,,,,,,
56835,에이블도산제일차,KRZS42195020,에이블도산제일차 20240111-33-1(단),Y,20240111,20240213,PF대출채권,KRW,,"14,600,000,000 ","14,600,000,000 ",32,N,,A1,A1,,서울시,강남구,논현동,62-2,,증권사,,KB증권,,매입확약,,공동주택,,,신영건설,,,A,3,1120,89.5
64401,엠에이백운제일차,KRZS42695016,엠에이백운제일차 20240111-33-1(단),Y,20240111,20240213,PF대출채권,KRW,,"7,500,000,000 ","7,500,000,000 ",32,N,,,,,,,,,,,,,,,,,,,,,,,,,
57272,이프지축제일차,KRZS42577010,이프지축제일차 20240111-91-1(단),Y,20240111,20240411,PF대출채권,KRW,,"8,500,000,000 ","8,500,000,000 ",90,N,,,,,,,,,,,,,,,,,,,,,,,,,
64405,제이케이본동,KRZS36185019,제이케이본동 20240111-60-1(단),Y,20240111,20240311,PF대출채권,KRW,,"26,700,000,000 ","26,700,000,000 ",59,N,,,,,,,,,,,,,,,,,,,,,,,,,
62592,케이비제기제이차,KRZS45530007,케이비제기제이차 20240111-33-1(단),Y,20240111,20240213,PF대출채권,KRW,,"8,700,000,000 ","8,700,000,000 ",32,N,,,,,,,,,,,,,,,,,,,,,,,,,
61460,케이비제기제일차,KRZS45529010,케이비제기제일차 20240111-33-1(단),Y,20240111,20240213,PF대출채권,KRW,,"50,700,000,000 ","50,700,000,000 ",32,N,,,,,,,,,,,,,,,,,,,,,,,,,
61753,케이아이에스대체제이십삼차,KRZS40829012,케이아이에스대체제이십삼차 20240111-12-1(단),Y,20240111,20240123,PF대출채권,KRW,,"2,999,980,000 ","2,999,980,000 ",11,N,,,,,,,,,,,,,,,,,,,,,,,,,
62181,프로젝트오학제일차,KRZS41900012,프로젝트오학제일차 20240111-33-1(단),Y,20240111,20240213,PF대출채권,KRW,,"2,000,000,000 ","2,000,000,000 ",32,N,,,,,,,,,,,,,,,,,,,,,,,,,
51134,고은안골제일차,KRZS35106015,고은안골제일차 20240110-91-1(단),Y,20240110,20240410,PF대출채권,KRW,,"4,000,000,000 ","4,000,000,000 ",89,N,,A1,A1,,,,,,,,,,,,,,,,,,,,,,
64076,기은센동대문제삼차,KRZS41265019,기은센동대문제삼차 20240110-56-3(단),Y,20240110,20240306,PF대출채권,KRW,,"21,300,000,000 ","21,300,000,000 ",54,N,,,A2+,A2+,서울시,동대문구,용두동,33-1,,시공사,,롯데건설,,자금보충,채무인수,공동주택,,,롯데건설,,,B,3,2805,
62511,두교로지스제일차,KRZS40882016,두교로지스제일차 20240110-91-1(단),Y,20240110,20240410,PF대출채권,KRW,,"6,400,000,000 ","6,400,000,000 ",89,N,A1,,A1,,,,,,,,,,,,,,,,,,,,,,
63773,모니모송도베스트제이차,KRZS47172003,모니모송도베스트제이차 20240110-34-1(단),Y,20240110,20240213,PF대출채권,KRW,,"5,000,000,000 ","5,000,000,000 ",32,N,A1,A1,,,,,,,,,,,,,,,,,,,,,,,
63772,모니모송도베스트제일차,KRZS47171003,모니모송도베스트제일차 20240110-34-1(단),Y,20240110,20240213,PF대출채권,KRW,,"50,000,000,000 ","50,000,000,000 ",32,N,A1,A1,,,,,,,,,,,,,,,,,,,,,,,
