플랜번호,발행인,증권종류,종목코드,종목명,발행일,만기일,옵션,모집구분,기초자산,통화,환율,발행금액,원화환산발행금액,표면이율,이자유형,한국신용평가,한국기업평가,NICE신용평가,서울신용평가,시/도,시/구,동/읍,상세주소,브릿지론/본PF,신용보강기관종류1,신용보강기관종류2,신용보강기관명1,신용보강기관명2,신용보강형태1,신용보강형태2,신용보강기관 신용등급,사업용도,사업용도 세부종목,시공사,시공사구간,시공사 신용등급,트렌치,전체 트렌치 수,전체 대출약정 규모(억 원),분양률(%)
64362,래피드호그제이십칠차,AB사채,KR6334071E14,래피드호그제이십칠차 4(사모/콜),20240105,20250530,CALL,사모,PF대출채권,KRW,,"31,530,848,000 ","31,530,848,000 ",5.15,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
64340,디더블유양주제사차,AB사채,KR6468301E12,디더블유양주제사차 2(사모/콜/강제),20240102,20240921,CALL,사모,PF대출채권,KRW,,"8,000,000,000 ","8,000,000,000 ",7.5,고정-이표,A,,,,,,,,,,,,,,,,,,,,,,,,
64339,트레쥬어마운틴제이차,AB사채,KR6474001E13,트레쥬어마운틴제이차 1(사모/콜),20240102,20241219,CALL,사모,PF대출채권,KRW,,"40,000,000,000 ","40,000,000,000 ",5.6,고정-이표,AA-,,,,,,,,,,,,,,,,,,,,,,,,
64319,글로리부대제삼차,AB사채,KR6473211DC1,글로리부대제삼차 1(사모/콜),20231228,20241224,CALL,사모,PF대출채권,KRW,,"10,000,000,000 ","10,000,000,000 ",8.3,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
64318,글로리부대제이차,AB사채,KR6473201DC2,글로리부대제이차 1-1(사모/콜),20231228,20241224,CALL,사모,PF대출채권,KRW,,"10,000,000,000 ","10,000,000,000 ",7,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
64318,글로리부대제이차,AB사채,KR6473202DC0,글로리부대제이차 1-2(사모/콜),20231228,20241224,CALL,사모,PF대출채권,KRW,,"15,000,000,000 ","15,000,000,000 ",7.3,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
64318,글로리부대제이차,AB사채,KR6473203DC8,글로리부대제이차 1-3(사모/콜),20231228,20241224,CALL,사모,PF대출채권,KRW,,"7,000,000,000 ","7,000,000,000 ",9.2,고정-이표,,,,,,,,,,,,,,,,,,,,,,,,,
64290,케이비권선유동화전문,ABS,KR6474471DC0,케이비권선유동화전문1(강제),20231227,20260630,옵션해당없음,공모,PF대출채권,KRW,,"47,000,000,000 ","47,000,000,000 ",4.53,고정-이표,,,AA+,,,,,,,,,,,,,,,,,,,,,,
64283,슈크림제일차,AB사채,KR6474161DC7,슈크림제일차 1(사모),20231226,20241218,옵션해당없음,사모,PF대출채권,KRW,,"100,000,000,000 ","100,000,000,000 ",6.05,고정-단리,,AA-,AA-,,,,,,,,,,,,,,,,,,,,,,
64270,플랜업구조화제일차,AB사채,KR6466081DC7,플랜업구조화제일차3(사모),20231222,20240222,옵션해당없음,사모,PF대출채권,KRW,,"56,400,000,000 ","56,400,000,000 ",7.3,고정-단리,,,,,,,,,,,,,,,,,,,,,,,,,
