발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,-,0
프로젝트갈매,경기도,구리시,갈매동,545번지,특수용도,지식산업센터,0
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트,0
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트,0
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트,0
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트,0
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,-,0
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,-,0
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,-,0
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,-,0
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,-,0
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,-,0
리치게이트신반포,서울특별시,서초구,잠원동,65-33번지,공동주택,-,본 PF
리치게이트신반포,서울특별시,서초구,잠원동,65-33번지,공동주택,-,본 PF
리치게이트신반포,서울특별시,서초구,잠원동,65-33번지,공동주택,-,본 PF
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0
신한지아이비화성,경기도,화성시,팔탄면,해창리,산업시설,물류,0
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트,본 PF
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트,본 PF
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트,본 PF
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트,본 PF
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트,본 PF
엔에이치상인천,인천광역시,남동구,간석1동,상인천초교,공동주택,아파트,본 PF
리치게이트십정,인천광역시,부평구,십정동,432번지,공동주택,아파트,본 PF
리치게이트십정,인천광역시,부평구,십정동,432번지,공동주택,아파트,본 PF
지아이비남사,경기도,용인시,처인구,남사면,산업시설,물류,0
지아이비남사,경기도,용인시,처인구,남사면,산업시설,물류,0
지아이비남사,경기도,용인시,처인구,남사면,산업시설,물류,0
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비도안,대전광역시,유성구,용계동,673-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비수표,서울특별시,중구,입정동,237번지,상업업무,오피스,0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
지아이비해운대,부산광역시,해운대구,우동,638-1번지,오피스텔(확인필요),오피스텔(확인필요),0
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,-,0
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,-,0
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,-,0
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,-,0
케이비프라이드제이차,경기도,화성시,봉담읍,내리지구,공동주택,-,0
리치게이트학익,인천광역시,미추홀구,학익동,290-1번지,공동주택,-,0
리치게이트학익,인천광역시,미추홀구,학익동,290-1번지,공동주택,-,0
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
하이브엘제일차,경기도,용인시,기흥구,보정동,공동주택,-,0
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,공동주택,-,본 PF
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,공동주택,-,본 PF
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,공동주택,-,본 PF
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,공동주택,-,본 PF
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,공동주택,-,본 PF
디아이에프와이,서울특별시,용산구,이태원동,34-69번지,공동주택,-,본 PF
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
마린씨티제일차,경상남도,창원시,마산합포구,서항가포,0,0,0
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
비엔케이썸제칠차,서울특별시,금천구,가산동,60-39번지,특수용도,지식산업센터,본 PF
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
송도더스카이제일차,인천광역시,연수구,송도동,30-2번지에,공동주택,-,0
우리아크로호계제일차,경기도,안양시,동안구,호계동,공동주택,-,0
우리아크로호계제일차,경기도,안양시,동안구,호계동,공동주택,-,0
우리아크로호계제일차,경기도,안양시,동안구,호계동,공동주택,-,0
우리아크로호계제일차,경기도,안양시,동안구,호계동,공동주택,-,0
우리아크로호계제일차,경기도,안양시,동안구,호계동,공동주택,-,0
우리아크로호계제일차,경기도,안양시,동안구,호계동,공동주택,-,0
지아이비세교,경기도,오산시,세교동,592-7,상업업무,자족시설,본 PF
지아이비세교,경기도,오산시,세교동,592-7,상업업무,자족시설,본 PF
지아이비세교,경기도,오산시,세교동,592-7,상업업무,자족시설,본 PF
지아이비세교,경기도,오산시,세교동,592-7,상업업무,자족시설,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
리치게이트원당,경기도,고양시,덕양구,주교동,공동주택,아파트,본 PF
