발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF,신용보강기관명,신용보강기관종류,신용보강형태,매입보장/확약,대출약정규모,분양률,문장
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
에이디원제칠차,전라남도,순천시,풍덕지구,도시개발사업을,공동주택,도시개발.공동주택,0,지에스건설,시공사,연대보증,매입확약,410,-, 지에스건설㈜의 연대보증 의무 에
프로젝트갈매,경기도,구리시,갈매동,545번지,특수용도,지식산업센터,0,메리츠증권,증권사,인수,매입확약,750,-,메리츠증권(주)의 사모사채 인수 의무
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트.리테일.공동주택,0,신한은행/농협은행.신한은행,은행/은행.은행,매입.-,매입확약,-,-, ㈜신한은행 및 농협은행㈜와 체결한 유동화증권 매입보장 약정 . ㈜신한은행과 체결한 유동성공여약정 리
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트.리테일.공동주택,0,신한은행/농협은행.신한은행,은행/은행.은행,매입.-,매입확약,-,-, ㈜신한은행 및 농협은행㈜와 체결한 유동화증권 매입보장 약정 . ㈜신한은행과 체결한 유동성공여약정 리
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트.리테일.공동주택,0,신한은행/농협은행.신한은행,은행/은행.은행,매입.-,매입확약,-,-, ㈜신한은행 및 농협은행㈜와 체결한 유동화증권 매입보장 약정 . ㈜신한은행과 체결한 유동성공여약정 리
리치게이트양덕,경상남도,창원시,마산회원구,양덕동,공동주택,아파트.리테일.공동주택,0,신한은행/농협은행.신한은행,은행/은행.은행,매입.-,매입확약,-,-, ㈜신한은행 및 농협은행㈜와 체결한 유동화증권 매입보장 약정 . ㈜신한은행과 체결한 유동성공여약정 리
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,신한은행.신한은행,은행.은행,매입.-,매입확약,2000,-, (주)신한은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 5억원)
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,신한은행.신한은행,은행.은행,매입.-,매입확약,2000,-, (주)신한은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 5억원)
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,신한은행.신한은행,은행.은행,매입.-,매입확약,2000,-, (주)신한은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 5억원)
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,신한은행.신한은행,은행.은행,매입.-,매입확약,2000,-, (주)신한은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 5억원)
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,신한은행.신한은행,은행.은행,매입.-,매입확약,2000,-, (주)신한은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 5억원)
지아이비신정,울산광역시,남구,신정동,638-1번지,공동주택,주상복합.리테일.공동주택,0,신한은행.신한은행,은행.은행,매입.-,매입확약,2000,-, (주)신한은행의 신용공여성 유동화증권 매입보장 . (주)신한은행의 유동성공여(한도 5억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
리치게이트대명,대구광역시,남구,대명동,2301-2,공동주택,아파트.리테일.공동주택,0,주택도시보증공사.신한은행.신한은행,공공.은행.은행,-.매입.-,매입확약,1100,-, 대명3동뉴타운주택재개발정비사업조합의 대출채무(대출원금)에 대한 주택도시보증공사의 PF 대출보증 . (주)신한은행의 유동화증권 및 신용공여성 기업어음 매입보장 . (주)신한은행의 유동성 공여(한도 8억원)
