발행인,시도,시구,동읍,상세주소,사업용도,사업용도세부종목,브릿지론/본PF,신용보강기관명,신용보강기관종류,신용보강형태,매입보장/확약,대출약정규모,분양률,문장
뉴스타제이에이치센터,자료없음
디비하이엔드제일차,자료없음
리미티리제삼차,자료없음
아디아북천안제일차,자료없음
에이블도산제일차,서울특별시,강남구,논현동,62-2번지,상업업무,오피스.리테일,0,케이비증권,증권사,인수,매입확약,1120,89.5, 케이비증권(주)의 사모사채 인수의
엠에이백운제일차,자료없음
이프지축제일차,자료없음
제이케이본동,자료없음
케이비제기제이차,자료없음
케이비제기제일차,자료없음
케이아이에스대체제이십삼차,자료없음
프로젝트오학제일차,자료없음
고은안골제일차,경상남도,창원시,진해구,안골동,상업업무,오피스.리테일,0,교보증권,증권사,채권매입/인수/자금보충,매입확약,780,55.0, 교보증권(주)의 대출채권 매입 자금보충 및 사모사채 인수 의무
기은센동대문제삼차,서울특별시,동대문구,용두동,33-1번지,공동주택,리테일.공동주택.오피스텔.오피스,0,롯데건설,시공사,채무인수/자금보충,매입확약,2805,-, 자금보충 및 조건부 채무인수 의무를 부담하는 롯데건설㈜의 신용도 기
두교로지스제일차,경기도,안성시,죽산면,두교리,산업시설,물류,본 PF,하이투자증권.-,증권사.-,채권매입/인수/자금보충.-,매입확약,-,-, 하이투자증권(주)의 대출채권 매입확약 및 자금보충 사모사채 인수의무 ⚫.  
모니모송도베스트제이차,인천광역시,연수구,송도동,30-5번지,공동주택,주상복합.도시개발.오피스.오피스텔.리테일.공동주택,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,3000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의무
모니모송도베스트제일차,인천광역시,연수구,송도동,30-5번지,공동주택,주상복합.도시개발.오피스.오피스텔.리테일.공동주택,0,삼성증권,증권사,채권매입/인수/자금보충,매입확약,3000,-, 삼성증권㈜의 대출채권 매입 자금보충 및 사모사채 인수 의무
밝은다올제이차,경기도,평택시,장당동,71-13번지,오피스텔,오피스텔.오피스,0,다올투자증권,증권사,채권매입/인수,매입확약,7475,-,  다올투자증권(주)의 대출채권 매입확약 및 사모사채 인수확약  
서머랠리제일차,대구광역시,북구,칠성동2가,725번지,공동주택,주상복합.오피스.오피스텔.리테일.공동주택,0,비엔케이투자증권,증권사,인수,매입확약,2700,-,  (주)비엔케이투자증권의 사모사채 인수확약  
