발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
래피드호그제이십칠차,공공기관,대구도시공사,SPC 또는 유동화증권에 대한 신용보강,
디더블유양주제사차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
트레쥬어마운틴제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
글로리부대제삼차,,,,에이치디씨현대산업개발
글로리부대제이차,,,,에이치디씨현대산업개발
글로리부대제이차,,,,에이치디씨현대산업개발
글로리부대제이차,,,,에이치디씨현대산업개발
케이비권선유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
슈크림제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
플랜업구조화제일차,일반기업,에이치디씨현대산업개발,SPC 또는 유동화증권에 대한 신용보강,에이치디씨현대산업개발
골든아일랜드제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
쿼드디엘에스제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,대라종합건설
하이메타버스서퍼제이십차,일반기업,북항아이디씨피에프브이(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
비욘드스카이제오차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
마인드유닛,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,디비하우징(주)
마인드유닛,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,디비하우징(주)
뉴스타반포3제일차유동화전문,일반기업,삼성물산(구 제일모직),SPC 또는 유동화증권에 대한 신용보강,삼성물산(구 제일모직)
모던인베스트,,,,현대건설
케이비온천4유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
쿼드더퍼스트제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,제일건설
비욘드사우제삼차,,,,(주)문장건설
디비닉스 제삼십구차,,,,우미건설
뉴스타드림제이차,일반기업,한신공영,SPC 또는 유동화증권에 대한 신용보강,한신공영
에스엘티안산제이차,일반기업,지에스건설,SPC 또는 유동화증권에 대한 신용보강,지에스건설
에프엔안산제일차,일반기업,지에스건설,SPC 또는 유동화증권에 대한 신용보강,지에스건설
하이메타버스서퍼제이십차,일반기업,북항아이디씨피에프브이(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
마크엑스제일차,일반기업,에스지씨이테크건설,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
하이메타버스서퍼제이십차,일반기업,북항아이디씨피에프브이(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
뉴스타이문1제이차유동화전문,일반기업,삼성물산(구 제일모직),SPC 또는 유동화증권에 대한 신용보강,삼성물산(구 제일모직)
드림비엔경산,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드스카이제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
하이메타버스서퍼제이십차,일반기업,북항아이디씨피에프브이(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
뉴딜배방신도제일차,,,,해당없음
에이치케이논현제일차,,,,호반건설
비케이한남원,,,,해당없음
비케이서현제일차,,,,미정
알파온수제오차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,서해종합건설
디앙스트제일차,,,,현대건설
마일스톤클래식,,,,(주)포스코이앤씨
에스에프부천제이차,,,,동부건설
뉴스타용답유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,지에스건설
하이메타버스서퍼제이십차,일반기업,북항아이디씨피에프브이(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
비욘드성성제이차,,,,에이치디씨현대산업개발
비욘드성성제이차,,,,에이치디씨현대산업개발
알에이해운대제오차,일반기업,에스케이에코플랜트(주),SPC 또는 유동화증권에 대한 신용보강,에스케이에코플랜트(주)
알에이해운대제오차,일반기업,에스케이에코플랜트(주),SPC 또는 유동화증권에 대한 신용보강,에스케이에코플랜트(주)
리멤버제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
민스크제일차,금융기관,키움증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
챔피언안산유동화제일차,,,,현대건설
계산베가제일차,,,,미정
디더블유양주제삼차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
디더블유양주제이차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
글로리첨단제일차,,,,제일건설
글로리첨단제일차,,,,제일건설
비욘드운정제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
실버라이닝제삼차,,,,대우건설
힐포트리스,,,,해당없음
챔피언안산유동화제일차,,,,현대건설
에프엔우동제이차,,,,해당없음
제이엠제이제구차,금융기관,한양증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
제이엠제이제구차,금융기관,한양증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
드림디오반제일차,일반기업,제일건설,SPC 또는 유동화증권에 대한 신용보강,제일건설
비욘드부대제일차,,,,에이치디씨현대산업개발
디벨롭고양,,,,
상봉제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,해당없음
비욘드성성제이차,,,,에이치디씨현대산업개발
선문제삼차,,,,해당없음
더블유에스제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,한신공영
드림베르힐회천제일차,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드미사제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
디비아레나제십구차,,,,
디비아레나제십팔차,,,,
비욘드부대제일차,일반기업,에이치디씨현대산업개발,유동화증권 매입보장,에이치디씨현대산업개발
비욘드부대제일차,일반기업,에이치디씨현대산업개발,유동화증권 매입보장,에이치디씨현대산업개발
비욘드성성제이차,일반기업,에이치디씨현대산업개발,유동화증권 매입보장,에이치디씨현대산업개발
비욘드성성제이차,일반기업,에이치디씨현대산업개발,유동화증권 매입보장,에이치디씨현대산업개발
비욘드성성제이차,일반기업,에이치디씨현대산업개발,유동화증권 매입보장,에이치디씨현대산업개발
비욘드봉명제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에이치고색,일반기업,한화,SPC 또는 유동화증권에 대한 신용보강,해당없음
베르테르제오차,,,,롯데건설
시카리오제일차,,,,
비욘드부대제일차,,,,에이치디씨현대산업개발
비욘드캐슬명륜에이,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,(주)엘앤드더블유건설
뉴스타개봉오구역유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,호반건설
키스해운대제삼차,,,,에이치엘디앤아이한라(주)
디어버디제십차,,서울보증보험,,롯데건설
디어버디제십차,,서울보증보험,,롯데건설
에이치케이포남제일차,,,,주식회사 유탑건설
디비닉스 제삼십팔차,,,,
디비닉스 제삼십팔차,,,,
케이테라제이차,,,,
케이테라제일차,,,,
드림베스트노블제이차,일반기업,제일건설,유동화증권 매입보장,제일건설
비엔케이멀티제삼차,,,,해당없음
와이에이홀딩스,,,,대우건설
딜라이트에스,,,,해당없음
비욘드부대제일차,,,,에이치디씨현대산업개발
더블랙코리아,,,,해당없음
캐슈넛블랙,,서울보증보험,,롯데건설
비욘드부대제일차,,,,에이치디씨현대산업개발
에이블대명제일차,일반기업,디엘건설(주),SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
에이치케이약사제일차,,,,쌍용건설
이오엔나인,,,,해당없음
비케이한남원,,,,해당없음
비케이한남원,,,,해당없음
오스피셔스제삼차,,,,대우건설
케이동지제일차,,,,
딜라이트에스,,,,해당없음
디비아폴로제이십팔차,,,,
뉴스타장위제십구역유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,대우건설
비욘드파인트리제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
와이케이에스디제일차,,,,
피넛골드,,,,해당없음
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,대방건설
나이스권선유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
강남메디칼제일차,,,,효성중공업
에스앤비그린제이차,일반기업,에스지씨이테크건설,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
케이아이에스운정제일차,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
더블랙코리아,,,,해당없음
모던인베스트,,,,현대건설
에프엔남천제이차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
힐포트리스,,,,해당없음
묵동제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,이랜드건설
노량진케이미트제일차유동화전문,공공기관,주택도시보증공사,SPC 또는 유동화증권에 대한 신용보강,한신공영
케이히어로제육차,,,,
케이히어로제칠차,,,,
엘원비엘티제칠차,금융기관,우리은행,유동화증권 매입보장,에스케이에코플랜트(주)
엘원비엘티제칠차,금융기관,우리은행,유동화증권 매입보장,에스케이에코플랜트(주)
조회실패,조회실패,조회실패,조회실패,조회실패
에듀포레기계제일차,,,,중흥건설
쿼드지제이제일차,일반기업,제일건설,유동화증권 매입보장,제일건설
레이트포앰,일반기업,에스지씨에너지,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
레이트포앰,일반기업,에스지씨에너지,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
뉴베스트레드,일반기업,에스지씨에너지,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
뉴베스트레드,일반기업,에스지씨에너지,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
에스엠원도곡제일차,,,,지에스건설
케이에스포천제일차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,은성산업
뉴스타이문1제일차유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
조회실패,조회실패,조회실패,조회실패,조회실패
나이스온천4유동화전문,,,,삼성물산(주)
드림비엔경산,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
조회실패,조회실패,조회실패,조회실패,조회실패
이터널봉명제일차,,,,(주)포스코이앤씨
뉴스타원펌2023의일제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
조회실패,조회실패,조회실패,조회실패,조회실패
조회실패,조회실패,조회실패,조회실패,조회실패
조회실패,조회실패,조회실패,조회실패,조회실패
디에이치스카이,,,,에스케이에코플랜트(주)
에스엠원도곡제일차,,,,지에스건설
에어라인제십일차,공공기관,대구도시공사,SPC 또는 유동화증권에 대한 신용보강,
에어라인제십일차,공공기관,대구도시공사,SPC 또는 유동화증권에 대한 신용보강,
케이에스포천제일차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,은성산업
드래곤밸리제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,태원건설산업
조회실패,조회실패,조회실패,조회실패,조회실패
뉴스타원펌2023의일제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
더블랙코리아,,,,해당없음
가이아창릉베타,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
뉴타이거제구차,,,,해당없음
와이에이홀딩스,,,,대우건설
와이에이홀딩스,,,,대우건설
더스카이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
에프엔울주제일차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
키움파트너스제이차,,,,
더스카이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
더스카이제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이티비파이어레드제오차,,,,(주)대한종건
케이티비파이어레드제오차,,,,(주)대한종건
케이에스포천제일차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,은성산업
드래곤밸리제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,태원건설산업
미르원제육차,,에스지씨에너지,채무자 신용도,에스지씨이테크건설
에프엔울주제일차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
인베스트유사제일차,,,,신화건설
에프엔홀인원제일차,,,,해당없음
케이에스포천제일차,금융기관,대신증권,SPC 또는 유동화증권에 대한 신용보강,은성산업
평택모르가나제일차,일반기업,에스지씨에너지,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
평택모르가나제일차,일반기업,에스지씨에너지,SPC 또는 유동화증권에 대한 신용보강,에스지씨이테크건설
학산피에프제이차,,,,한신공영
조회실패,조회실패,조회실패,조회실패,조회실패
조회실패,조회실패,조회실패,조회실패,조회실패
에스파고양,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
우드타운제일차,,,,해당없음
우드타운제일차,,,,해당없음
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
드림베르힐회천제일차,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
와이비소사벌,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
와이비소사벌,공공기관,한국토지주택공사,SPC 또는 유동화증권에 대한 신용보강,
케이티비종투,,,,신일
비에스에이엔엠제이차,,,,건영
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
티엠비홀딩스,,,,해당없음
에이블세풍산단,,광양만권 경제자유구역청,유동화증권 매입보장,(주)포스코이앤씨
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
가이아투자제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우남건설
래피드호그제이십칠차,공공기관,대구도시공사,SPC 또는 유동화증권에 대한 신용보강,
플래닛상도제일차,,,,대우건설
이터널포항제이차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,신세계건설
케이티비종투,,,,신일
케이티비종투,,,,신일
메카닉죽전제일차,,,,디엘건설(주)
디비유퍼스트제일차,금융기관,디비금융투자,SPC 또는 유동화증권에 대한 신용보강,우남건설
가이아투자제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우남건설
엠에스원동다박골제삼차,일반기업,대우건설,SPC 또는 유동화증권에 대한 신용보강,대우건설
가이아투자제일차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,우남건설
티아이주교제이차,금융기관,한화투자증권,유동화증권 매입보장,광성종합건설 주식회사
디아이에프독산,일반기업,태영건설,SPC 또는 유동화증권에 대한 신용보강,태영건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
티와이독산제이차,일반기업,태영건설,SPC 또는 유동화증권에 대한 신용보강,태영건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
에이치에스스카이사모,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
비욘드이목제일차,공공기관,한국농어촌공사,SPC 또는 유동화증권에 대한 신용보강,
큐브이문유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
에코시티케이몰제일차,,,,에스케이에코플랜트(주)
뉴스타신반포15유동화전문,일반기업,삼성물산(주),SPC 또는 유동화증권에 대한 신용보강,삼성물산(주)
하이라이트풀제일차,,,,대명이십일
