발행인,신용보강기관종류1,신용보강기관명1,신용보강형태1,시공사
뉴스타제이에이치센터,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,현대건설
디비하이엔드제일차,금융기관,키움증권,유동화증권 매입보장,해당없음
리미티리제삼차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,삼부토건
아디아북천안제일차,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,에스지신성건설
에이블도산제일차,금융기관,케이비증권,SPC 또는 유동화증권에 대한 신용보강,(주)신영씨앤디
엠에이백운제일차,금융기관,미래에셋증권(주),SPC 또는 유동화증권에 대한 신용보강,미정
이프지축제일차,금융기관,현대차증권,SPC 또는 유동화증권에 대한 신용보강,에이스건설
제이케이본동,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
케이비제기제이차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이비제기제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이아이에스대체제이십삼차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
프로젝트오학제일차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
고은안골제일차,금융기관,교보증권,SPC 또는 유동화증권에 대한 신용보강,현대엔지니어링
기은센동대문제삼차,일반기업,롯데건설,SPC 또는 유동화증권에 대한 신용보강,롯데건설
두교로지스제일차,금융기관,하이투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
모니모송도베스트제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
모니모송도베스트제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
밝은다올제이차,금융기관,다올투자증권(주),SPC 또는 유동화증권에 대한 신용보강,해당없음
서머랠리제일차,금융기관,비엔케이투자증권,SPC 또는 유동화증권에 대한 신용보강,호반건설
에코송정,금융기관,한화투자증권,SPC 또는 유동화증권에 대한 신용보강,페라즈이즈먼트(주)
에프엔송도5제일차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,(주)포스코이앤씨
에프엔한강제이차,금융기관,삼성증권,SPC 또는 유동화증권에 대한 신용보강,디엘이앤씨 주식회사
와이케이이천제일차,금융기관,유안타증권,SPC 또는 유동화증권에 대한 신용보강,산이건설(주)
원주오토제일차,조회실패,조회실패,조회실패,조회실패
주파수초읍제일차,금융기관,SK증권,SPC 또는 유동화증권에 대한 신용보강,한동건설
케이비흑석제일차,일반기업,현대건설,SPC 또는 유동화증권에 대한 신용보강,현대건설
케이아이에스대체제이십오차,금융기관,한국투자증권,SPC 또는 유동화증권에 대한 신용보강,해당없음
